flex1,flex2,flex3,ax,ay,az,gx,gy,gz,label
4095,2064,2853,3.036,2.346,-8.93,0.039,-0.058,0.08,POINT
4095,2039,2827,2.931,2.27,-8.849,0.037,-0.042,0.102,POINT
4095,2064,1574,2.916,2.315,-8.83,0.051,-0.061,0.108,POINT
4016,2046,1898,2.799,2.418,-8.964,0.052,-0.07,0.131,POINT
4095,2124,2774,2.801,2.375,-9.007,0.028,-0.035,0.178,POINT
3995,2039,1073,2.89,2.332,-8.892,0.01,0.002,0.196,POINT
4095,2099,2419,3.019,2.198,-8.792,0.009,0.014,0.165,POINT
4082,2034,2303,3.187,2.114,-8.638,0.023,-0.026,0.09,POINT
4086,2026,4095,3.074,2.172,-8.897,0.03,-0.065,0.028,POINT
4095,2032,2735,3.014,2.184,-9.019,-0.003,-0.014,0.009,POINT
4093,1997,4095,2.935,2.346,-8.942,-0.054,0.036,0.044,POINT
3957,2035,4095,3.007,2.37,-8.71,-0.071,0.067,0.102,POINT
4095,1984,4095,3.254,2.322,-8.483,-0.04,-0.012,0.125,POINT
3973,1939,4095,3.345,2.102,-8.844,-0.001,-0.06,0.082,POINT
3883,1949,2867,3.232,2.14,-9.021,-0.027,-0.019,-0.026,POINT
4001,1988,4095,3.081,2.44,-8.909,-0.07,0.041,-0.011,POINT
4095,2037,4095,3.141,2.521,-8.679,-0.077,0.07,0.066,POINT
4095,1979,3971,3.352,2.43,-8.564,-0.072,0.022,0.13,POINT
4095,1987,2503,3.534,2.136,-8.703,-0.048,-0.048,0.118,POINT
4095,2004,4095,3.57,2.016,-8.959,-0.037,-0.002,0.007,POINT
3980,2020,2389,3.541,2.162,-8.832,-0.059,0.052,-0.071,POINT
4087,2061,2554,3.472,2.291,-8.78,-0.056,0.035,-0.056,POINT
4095,2096,1579,3.488,2.188,-8.744,-0.05,0.025,-0.016,POINT
4095,2095,1744,3.587,2.004,-8.708,-0.02,-0.003,-0.047,POINT
4095,2063,2824,3.584,1.963,-8.76,0.001,-0.035,-0.118,POINT
3952,1971,822,3.345,2.059,-8.871,-0.006,-0.048,-0.14,POINT
3931,2115,2718,3.213,2.219,-8.813,-0.025,-0.038,-0.082,POINT
3856,2084,2886,3.259,2.186,-8.736,-0.028,-0.062,0.011,POINT
4095,2070,4095,3.33,2.004,-8.751,-0.035,-0.088,0.026,POINT
3881,2058,2605,3.297,1.954,-8.77,-0.045,-0.086,-0.039,POINT
4065,2030,4095,3.156,2.241,-8.811,-0.071,-0.067,-0.069,POINT
3980,2031,4095,3.191,2.387,-8.861,-0.107,-0.019,-0.023,POINT
4095,2071,4095,3.338,2.385,-8.696,-0.12,-0.009,0.007,POINT
4095,2098,4095,3.414,2.361,-8.662,-0.117,-0.039,-0.001,POINT
4050,2043,2871,3.397,2.5,-8.712,-0.089,-0.063,-0.027,POINT
4016,2019,4095,3.376,2.672,-8.873,-0.071,-0.048,-0.018,POINT
4095,2067,4017,3.476,2.643,-8.806,-0.066,-0.033,0.026,POINT
4095,2070,4095,3.51,2.488,-8.787,-0.053,-0.018,0.021,POINT
3989,2064,2601,3.464,2.497,-8.622,-0.03,-0.051,0.01,POINT
4095,2083,4095,3.414,2.516,-8.636,0.014,-0.114,0.022,POINT
4095,2034,2709,3.326,2.389,-8.856,0.037,-0.115,0.021,POINT
4047,2106,2042,3.206,2.399,-8.94,0.017,-0.076,0.039,POINT
3946,2064,2095,3.232,2.282,-8.832,0,-0.011,0.055,POINT
3933,2047,1739,3.294,2.212,-8.696,-0.01,-0.003,0.048,POINT
4080,2097,2480,3.347,2.195,-8.657,-0.001,-0.046,0.045,POINT
3823,2004,928,3.395,2.138,-8.753,0.011,-0.097,0.051,POINT
4079,2045,2688,3.371,2.162,-8.861,-0.003,-0.114,0.067,POINT
4048,2000,2819,3.321,2.095,-9.024,-0.021,-0.043,0.061,POINT
4095,2005,4095,3.349,2.136,-8.686,-0.038,-0.013,0.051,POINT
4016,2026,2738,3.405,2.109,-8.638,-0.018,-0.059,0.047,POINT
4095,2029,4095,3.448,1.997,-8.696,-0.006,-0.109,0.02,POINT
4077,2096,4095,3.405,2.011,-8.811,-0.008,-0.11,-0.026,POINT
4095,2034,4095,3.294,2.162,-8.942,-0.034,-0.067,-0.011,POINT
4095,2059,4095,3.316,2.279,-8.784,-0.062,-0.021,0.07,POINT
4095,2045,3970,3.474,2.102,-8.696,-0.078,-0.038,0.155,POINT
4095,2038,4095,3.67,2.018,-8.765,-0.086,-0.05,0.164,POINT
4095,2008,4095,3.855,1.975,-8.655,-0.09,-0.061,0.11,POINT
4095,2000,4095,3.788,2.081,-8.605,-0.081,-0.149,0.076,POINT
3901,2017,2961,3.565,2.184,-8.823,-0.079,-0.172,0.088,POINT
3984,1998,4095,3.496,2.164,-8.789,-0.103,-0.161,0.127,POINT
4049,2023,2809,3.496,2.133,-8.705,-0.102,-0.161,0.137,POINT
3942,1983,2157,3.388,2.052,-8.813,-0.095,-0.182,0.129,POINT
4095,1988,1971,3.311,1.978,-8.854,-0.098,-0.175,0.094,POINT
3929,1915,1840,3.275,1.92,-8.799,-0.09,-0.172,0.037,POINT
3986,1979,1937,3.141,1.956,-8.947,-0.08,-0.173,0,POINT
4062,1968,919,3.062,2.057,-8.954,-0.09,-0.144,0.009,POINT
4095,2000,2688,3.005,2.042,-8.878,-0.088,-0.152,0.056,POINT
4095,1984,2856,3.017,1.858,-8.902,-0.082,-0.161,0.061,POINT
4095,1987,3241,3,1.805,-9,-0.089,-0.14,0.009,POINT
4023,1981,2241,2.962,1.834,-9.041,-0.093,-0.08,-0.067,POINT
4060,1997,4095,2.895,2.088,-8.94,-0.113,-0.036,-0.071,POINT
3878,1904,3526,-0.01,8.234,-5.006,-0.057,0.003,0.078,POINT
3760,1925,2559,0.034,8.147,-5.04,-0.056,-0.029,0.077,POINT
3897,1847,3187,0.045,8.085,-5.085,-0.055,-0.044,0.067,POINT
3753,1866,3239,-0.005,8.157,-5.085,-0.073,-0.031,0.057,POINT
3910,1902,4095,-0.007,8.226,-5.059,-0.077,-0.033,0.062,POINT
3920,1903,3829,0.029,8.124,-5.08,-0.066,-0.045,0.052,POINT
4028,1872,4095,0.055,8.052,-5.08,-0.058,-0.08,0.011,POINT
4095,1965,4095,-0.115,8.157,-5.162,-0.061,-0.111,0,POINT
3893,1923,4095,-0.16,8.145,-5.169,-0.07,-0.104,0.014,POINT
3989,1975,4095,-0.285,8.207,-5.236,-0.086,-0.072,0.02,POINT
3854,1911,4083,-0.23,8.205,-5.128,-0.094,-0.035,0.023,POINT
4095,1875,4095,-0.168,8.279,-5.085,-0.082,-0.05,0.003,POINT
4095,1893,2906,-0.192,8.332,-5.14,-0.076,-0.066,0.013,POINT
4055,1943,3007,-0.146,8.317,-5.124,-0.075,-0.062,0.027,POINT
3977,1965,2235,-0.079,8.262,-5.102,-0.075,-0.048,0.015,POINT
3997,1948,2727,-0.108,8.334,-5.047,-0.076,-0.04,0.014,POINT
3955,1906,1228,-0.113,8.356,-5.037,-0.076,-0.045,0.036,POINT
3790,1872,1023,-0.014,8.291,-5.016,-0.063,-0.058,0.035,POINT
3814,1974,78,-0.053,8.32,-5.049,-0.052,-0.067,0.011,POINT
3851,1963,1863,-0.086,8.334,-5.023,-0.052,-0.071,0.016,POINT
3857,1938,2550,-0.081,8.253,-5.052,-0.047,-0.083,0.017,POINT
3823,1971,2230,-0.093,8.21,-5.107,-0.048,-0.092,0.011,POINT
3977,1922,3223,-0.129,8.298,-5.097,-0.063,-0.077,0.036,POINT
3920,1947,3271,-0.072,8.238,-5.054,-0.067,-0.077,0.052,POINT
3810,1914,4095,-0.045,8.131,-5.054,-0.053,-0.1,0.018,POINT
3914,1929,4095,-0.156,8.147,-5.104,-0.052,-0.12,0,POINT
4095,1967,4095,-0.184,8.147,-5.124,-0.06,-0.121,0.004,POINT
4095,1906,4095,-0.182,8.2,-5.112,-0.064,-0.113,0.004,POINT
4089,1968,4095,-0.117,8.171,-5.1,-0.055,-0.084,-0.02,POINT
3974,1954,4095,-0.096,8.121,-5.052,-0.042,-0.078,-0.074,POINT
4095,1969,4095,-0.199,8.241,-5.119,-0.033,-0.079,-0.107,POINT
4054,1951,4095,-0.297,8.406,-5.097,-0.044,-0.057,-0.08,POINT
3957,1961,3583,-0.278,8.42,-5.088,-0.064,-0.059,-0.038,POINT
4095,1973,4062,-0.249,8.37,-5.049,-0.062,-0.048,-0.002,POINT
3834,1914,2499,-0.144,8.241,-5.028,-0.062,-0.039,-0.022,POINT
3829,1903,2861,-0.208,8.289,-5.009,-0.062,-0.045,-0.044,POINT
3751,1903,1277,-0.287,8.44,-5.021,-0.061,-0.05,-0.022,POINT
3773,1932,1038,-0.268,8.408,-5.006,-0.071,-0.056,0.021,POINT
3801,1879,0,-0.172,8.329,-5.004,-0.067,-0.066,0.029,POINT
3879,1878,1651,-0.184,8.279,-5.066,-0.066,-0.054,0.014,POINT
3945,1872,2923,-0.213,8.294,-5.057,-0.063,-0.05,0.006,POINT
